"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp"
0.004285450559109449,2.455379724502564,-0.6579180359840393,2.0,0.0,10.0,2.542,337563738.0,337563738.0
0.005159800406545401,2.687585592269898,0.04691207036376,24.0,1.0,11.0,2.688,337563740.0,337563740.0
0.00553441746160388,2.642485857009888,-0.6100672483444214,2.0,2.0,12.0,2.712,337563742.0,337563742.0
0.005350116640329361,2.554488658905029,0.1338753700256348,27.0,3.0,12.0,2.558,337563745.0,337563745.0
0.007786429487168789,3.431759834289551,-0.6670682430267334,43.0,4.0,13.0,3.496,337563747.0,337563747.0
0.006494340021163225,2.65783953666687,0.2325315177440643,26.0,5.0,14.0,2.668,337563749.0,337563749.0
0.00891569722443819,3.405537843704224,-0.5393860340118408,53.0,6.0,15.0,3.448,337563752.0,337563752.0
0.009534675627946854,3.414345502853394,0.4192305505275726,51.0,7.0,16.0,3.44,337563754.0,337563754.0
0.01005991268903017,3.390522718429565,-0.4163056910037994,46.0,8.0,17.0,3.416,337563756.0,337563756.0
0.01019236911088228,3.435164928436279,0.544079065322876,63.0,9.0,17.0,3.478,337563759.0,337563759.0
0.01070960331708193,3.408961534500122,-0.2982469499111176,61.0,10.0,18.0,3.422,337563761.0,337563761.0
0.01134760305285454,3.421933650970459,0.6651601791381836,50.0,11.0,19.0,3.486,337563763.0,337563763.0
0.01015084609389305,2.907991409301758,-0.1524023115634918,16.0,12.0,20.0,2.912,337563765.0,337563765.0
0.01253506913781166,3.420016050338745,0.7895781993865967,52.0,13.0,21.0,3.51,337563768.0,337563768.0
0.01079563423991203,2.811551094055176,-0.04907616600394249,18.0,14.0,22.0,2.812,337563770.0,337563770.0
0.01379601843655109,3.436736345291138,0.9208781719207764,66.0,15.0,23.0,3.558,337563772.0,337563772.0
0.01459529064595699,2.69754958152771,0.04708659276366234,22.0,1.0,31.0,2.698,337563795.0,337563795.0
0.01695690117776394,3.036089658737183,-0.7009474635124207,2.0,2.0,32.0,3.116,337563798.0,337563798.0
0.01437846105545759,2.574426889419556,0.1349221020936966,21.0,3.0,32.0,2.578,337563800.0,337563800.0
0.01969761401414871,3.419932365417481,-0.6647785305976868,45.0,4.0,33.0,3.484,337563802.0,337563802.0
0.0158310066908598,2.667762517929077,0.2334030717611313,10.0,5.0,34.0,2.678,337563805.0,337563805.0
0.02091178856790066,3.423264026641846,-0.5422018766403198,56.0,6.0,35.0,3.466,337563807.0,337563807.0
0.02147785201668739,3.418261528015137,0.4197180271148682,51.0,7.0,36.0,3.444,337563809.0,337563809.0
0.02190780453383923,3.392452001571655,-0.416549414396286,49.0,8.0,37.0,3.418,337563812.0,337563812.0
0.02213224582374096,3.427206993103027,0.5428276062011719,63.0,9.0,37.0,3.47,337563814.0,337563814.0
0.02263546176254749,3.412888050079346,-0.2985955774784088,61.0,10.0,38.0,3.426,337563816.0,337563816.0
0.02337249182164669,3.433652400970459,0.6674498915672302,52.0,11.0,39.0,3.498,337563818.0,337563818.0
0.02056649327278137,2.945885419845581,-0.1543910652399063,10.0,12.0,40.0,2.95,337563821.0,337563821.0
0.02450096607208252,3.423848628997803,0.790477991104126,54.0,13.0,41.0,3.514,337563823.0,337563823.0
0.02063903026282787,2.815495491027832,-0.04914597794413567,18.0,14.0,42.0,2.816,337563825.0,337563825.0
0.02580688148736954,3.438599109649658,0.9213957786560059,71.0,15.0,43.0,3.56,337563828.0,337563828.0
0.02422500029206276,2.721477508544922,0.0475054495036602,23.0,1.0,51.0,2.722,337563851.0,337563851.0
0.02950018458068371,3.250364780426025,-0.7504367232322693,4.0,2.0,52.0,3.336,337563853.0,337563853.0
0.0235098097473383,2.590338230133057,0.1357594728469849,23.0,3.0,52.0,2.594,337563855.0,337563855.0
