"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp"
0.008338917046785355,2.654350996017456,-0.7112347483634949,3.0,0.0,18.0,2.748,1091804338.0,1091804338.0
0.008116624318063259,2.447613716125488,0.04272349178791046,8.0,1.0,19.0,2.448,1091804340.0,1091804340.0
0.009155993349850178,2.622988224029541,-0.6055682301521301,2.0,2.0,20.0,2.692,1091804342.0,1091804342.0
0.009318768046796322,2.54249382019043,0.1332473456859589,7.0,3.0,21.0,2.546,1091804345.0,1091804345.0
0.01231901627033949,3.361068964004517,-0.6533300280570984,47.0,4.0,21.0,3.424,1091804347.0,1091804347.0
0.01007532328367233,2.623957395553589,0.2295682281255722,7.0,5.0,22.0,2.634,1091804349.0,1091804349.0
0.01355969998985529,3.377866983413696,-0.5350058674812317,58.0,6.0,23.0,3.42,1091804352.0,1091804352.0
0.01154137402772903,2.755283832550049,0.3383092880249023,6.0,7.0,24.0,2.776,1091804354.0,1091804354.0
0.01195296924561262,2.739401340484619,-0.3363593816757202,4.0,8.0,25.0,2.76,1091804356.0,1091804356.0
0.01477327384054661,3.38576340675354,0.5362573266029358,61.0,9.0,25.0,3.428,1091804358.0,1091804358.0
0.01203376427292824,2.651843070983887,-0.2320085912942886,5.0,10.0,26.0,2.662,1091804361.0,1091804361.0
0.01598673686385155,3.392465829849243,0.6594358682632446,49.0,11.0,27.0,3.456,1091804363.0,1091804363.0
0.01253236643970013,2.564450025558472,-0.1343987286090851,5.0,12.0,28.0,2.568,1091804365.0,1091804365.0
0.01712289452552795,3.382969617843628,0.7810300588607788,52.0,13.0,29.0,3.472,1091804368.0,1091804368.0
0.01296227239072323,2.475589036941528,-0.0432121567428112,4.0,14.0,30.0,2.476,1091804370.0,1091804370.0
0.01766097359359264,3.372966766357422,0.9037960767745972,60.0,15.0,30.0,3.492,1091804372.0,1091804372.0
0.01739928126335144,2.623396873474121,-0.70295250415802,3.0,0.0,38.0,2.716,1091804393.0,1091804393.0
0.01660589501261711,2.439571857452393,0.04258387163281441,8.0,1.0,39.0,2.44,1091804395.0,1091804395.0
0.01847513020038605,2.646324634552002,-0.6109670400619507,2.0,2.0,40.0,2.716,1091804398.0,1091804398.0
0.01827942207455635,2.554429054260254,0.1338753700256348,7.0,3.0,41.0,2.558,1091804400.0,1091804400.0
0.02399506606161594,3.353152513504028,-0.6518035531044006,47.0,4.0,41.0,3.416,1091804402.0,1091804402.0
