"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp"
0.005684711039066315,2.714245557785034,-0.7272815108299255,4.0,0.0,12.0,2.81,959001077.0,959001077.0
0.008189575746655464,3.609440803527832,0.06300318986177444,70.0,1.0,13.0,3.61,959001079.0,959001079.0
0.007818655110895634,3.199821710586548,-0.7387392520904541,4.0,2.0,14.0,3.284,959001081.0,959001081.0
0.009490283206105232,3.625012874603272,0.1899795234203339,51.0,3.0,15.0,3.63,959001084.0,959001084.0
0.01007046643644571,3.606210708618164,0.3155037760734558,63.0,5.0,16.0,3.62,959001088.0,959001088.0
0.01062608696520329,3.581342220306397,-0.5672313570976257,56.0,6.0,17.0,3.626,959001091.0,959001091.0
0.01140626799315214,3.630715847015381,0.4457980692386627,48.0,7.0,18.0,3.658,959001093.0,959001093.0
0.01186221186071634,3.57711672782898,-0.4392171204090118,45.0,8.0,19.0,3.604,959001095.0,959001095.0
0.01201377343386412,3.622820854187012,0.5738016366958618,50.0,9.0,19.0,3.668,959001097.0,959001097.0
0.01251157186925411,3.584286689758301,-0.3135863542556763,70.0,10.0,20.0,3.598,959001100.0,959001100.0
0.01318249851465225,3.596657752990723,0.6991241574287415,40.0,11.0,21.0,3.664,959001102.0,959001102.0
0.01385771203786135,3.609020471572876,-0.1891421526670456,70.0,12.0,22.0,3.614,959001104.0,959001104.0
0.01454244274646044,3.622678756713867,0.8363680243492126,55.0,13.0,23.0,3.718,959001107.0,959001107.0
0.01508568041026592,3.601419687271118,-0.06286356598138809,56.0,14.0,24.0,3.602,959001109.0,959001109.0
0.01513222232460976,3.612530946731567,0.9679832458496094,59.0,15.0,24.0,3.74,959001111.0,959001111.0
0.01522389799356461,2.725800275802612,-0.7303873300552368,4.0,0.0,32.0,2.822,959001132.0,959001132.0
0.02071972191333771,3.597392320632935,0.06279376149177551,67.0,1.0,33.0,3.598,959001134.0,959001134.0
0.01893024891614914,3.1900315284729,-0.7364897727966309,4.0,2.0,34.0,3.274,959001137.0,959001137.0
0.02209507860243321,3.616968631744385,0.1895608305931091,51.0,3.0,35.0,3.622,959001139.0,959001139.0
0.02093936502933502,3.427778244018555,-0.6663050055503845,5.0,4.0,35.0,3.492,959001141.0,959001141.0
0.02260835655033588,3.598184108734131,0.3148065507411957,55.0,5.0,36.0,3.612,959001144.0,959001144.0
0.02302518859505653,3.565480470657349,-0.5647284388542175,51.0,6.0,37.0,3.61,959001146.0,959001146.0
0.02392177656292915,3.606833457946777,0.4428731799125671,48.0,7.0,38.0,3.634,959001148.0,959001148.0
0.02432158216834068,3.573083400726318,-0.4387296438217163,47.0,8.0,39.0,3.6,959001150.0,959001150.0
0.02525062300264835,3.61682653427124,0.572862982749939,56.0,9.0,40.0,3.662,959001153.0,959001153.0
0.02502299100160599,3.584221124649048,-0.3135863542556763,67.0,10.0,40.0,3.598,959001155.0,959001155.0
0.02572304755449295,3.594626665115356,0.6987425684928894,42.0,11.0,41.0,3.662,959001157.0,959001157.0
0.02633833512663841,3.59297251701355,-0.1883047670125961,61.0,12.0,42.0,3.598,959001160.0,959001160.0
0.02718786336481571,3.622605800628662,0.8363680243492126,49.0,13.0,43.0,3.718,959001162.0,959001162.0
0.02762617729604244,3.59734582901001,-0.06279376149177551,56.0,14.0,44.0,3.598,959001164.0,959001164.0
0.02841822616755962,3.618246555328369,0.9695361256599426,55.0,15.0,45.0,3.746,959001167.0,959001167.0
0.02472109161317349,2.723798751831055,-0.7298697233200073,4.0,0.0,52.0,2.82,959001187.0,959001187.0
0.03327683731913567,3.59729814529419,0.06279376149177551,70.0,1.0,53.0,3.598,959001190.0,959001190.0
0.03017561882734299,3.201637744903565,-0.7391891479492188,4.0,2.0,54.0,3.286,959001192.0,959001192.0
0.03464383259415627,3.608880758285523,0.1891421526670456,51.0,3.0,55.0,3.614,959001194.0,959001194.0
0.03437437489628792,3.580811023712158,-0.696071207523346,26.0,4.0,55.0,3.648,959001197.0,959001197.0
0.0351487509906292,3.596091032028198,0.3146322369575501,50.0,5.0,56.0,3.61,959001199.0,959001199.0
0.0354512482881546,3.563403129577637,-0.5644155740737915,47.0,6.0,57.0,3.608,959001201.0,959001201.0
0.03653192147612572,3.608712911605835,0.4431169331073761,46.0,7.0,58.0,3.636,959001203.0,959001203.0
0.0366302952170372,3.557096719741821,-0.4367797374725342,46.0,8.0,59.0,3.584,959001206.0,959001206.0
0.03718329221010208,3.610797166824341,0.5719243884086609,60.0,9.0,59.0,3.656,959001208.0,959001208.0
0.03757583349943161,3.588096618652344,-0.3139349818229675,70.0,10.0,60.0,3.602,959001210.0,959001210.0
0.03829138353466988,3.596478223800659,0.6991241574287415,38.0,11.0,61.0,3.664,959001213.0,959001213.0
0.03890160098671913,3.594855785369873,-0.1884094476699829,57.0,12.0,62.0,3.6,959001215.0,959001215.0
0.03961868211627007,3.603002786636353,0.8318690061569214,48.0,13.0,63.0,3.698,959001217.0,959001217.0
0.04022776335477829,3.601226806640625,-0.06286356598138809,56.0,14.0,64.0,3.602,959001220.0,959001220.0
0.04033029451966286,3.610405445098877,0.9674655795097351,57.0,15.0,64.0,3.738,959001222.0,959001222.0
0.03435014933347702,2.733354330062866,-0.7324578762054443,4.0,0.0,72.0,2.83,959001243.0,959001243.0
0.04593545943498612,3.605158090591431,0.06293337792158127,67.0,1.0,73.0,3.606,959001245.0,959001245.0
0.04132606834173203,3.199564456939697,-0.7387392520904541,4.0,2.0,74.0,3.284,959001247.0,959001247.0
0.04718868061900139,3.604743719100952,0.1889328062534332,50.0,3.0,75.0,3.61,959001250.0,959001250.0
0.04710480943322182,3.598336935043335,-0.6995058059692383,34.0,4.0,75.0,3.666,959001252.0,959001252.0
0.04767481237649918,3.59395432472229,0.3144579231739044,57.0,5.0,76.0,3.608,959001254.0,959001254.0
0.04780999198555946,3.557332038879395,-0.5634769201278687,49.0,6.0,77.0,3.602,959001256.0,959001256.0
0.04907441139221191,3.604593515396118,0.4426294565200806,39.0,7.0,78.0,3.632,959001259.0,959001259.0
0.04896454885601997,3.550992488861084,-0.4360485076904297,47.0,8.0,79.0,3.578,959001261.0,959001261.0
0.04967815428972244,3.602744579315186,0.5706729292869568,59.0,9.0,79.0,3.648,959001263.0,959001263.0
0.05018385127186775,3.593920230865479,-0.3144579231739044,72.0,10.0,80.0,3.608,959001266.0,959001266.0
0.05081744492053986,3.594359636306763,0.6987425684928894,36.0,11.0,81.0,3.662,959001268.0,959001268.0
0.0513354204595089,3.586709976196289,-0.1879907548427582,55.0,12.0,82.0,3.592,959001270.0,959001270.0
0.05202589184045792,3.591151237487793,0.8291695713996887,51.0,13.0,83.0,3.686,959001273.0,959001273.0
0.05268087983131409,3.593066453933716,-0.06272394955158234,56.0,14.0,84.0,3.594,959001275.0,959001275.0
0.05298935621976852,3.614105939865112,0.9685008525848389,56.0,15.0,84.0,3.742,959001277.0,959001277.0
0.04323000460863113,2.721635580062866,-0.7293520569801331,4.0,0.0,91.0,2.818,959001298.0,959001298.0
0.05795455724000931,3.60898494720459,0.06300318986177444,70.0,1.0,92.0,3.61,959001300.0,959001300.0
0.05177783221006393,3.189667463302612,-0.7364897727966309,4.0,2.0,93.0,3.274,959001303.0,959001303.0
0.05907665193080902,3.600573539733887,0.1887234598398209,52.0,3.0,94.0,3.606,959001305.0,959001305.0
0.05910148471593857,3.602087020874023,-0.7002689838409424,56.0,4.0,94.0,3.67,959001307.0,959001307.0
0.05942736193537712,3.583815813064575,0.3135863542556763,58.0,5.0,95.0,3.598,959001309.0,959001309.0
0.05967245995998383,3.56110429763794,-0.5641027092933655,57.0,6.0,96.0,3.606,959001312.0,959001312.0
0.0608929842710495,3.596471786499023,0.4416545033454895,40.0,7.0,97.0,3.624,959001314.0,959001314.0
0.06080769747495651,3.554780244827271,-0.4365359842777252,47.0,8.0,98.0,3.582,959001316.0,959001316.0
0.06204899400472641,3.590698719024658,0.5687957406044006,63.0,9.0,99.0,3.636,959001319.0,959001319.0
0.06179162487387657,3.575805187225342,-0.3128891289234161,70.0,10.0,99.0,3.59,959001321.0,959001321.0
0.06273648887872696,3.594171285629273,0.6987425684928894,36.0,11.0,100.0,3.662,959001323.0,959001323.0
0.06312347948551178,3.58052921295166,-0.1876767426729202,53.0,12.0,101.0,3.586,959001326.0,959001326.0
0.06393428891897202,3.590959072113037,0.8291695713996887,53.0,13.0,102.0,3.686,959001328.0,959001328.0
0.06448778510093689,3.586873769760132,-0.06261923164129257,61.0,14.0,103.0,3.588,959001330.0,959001330.0
0.06462660431861877,3.594594955444336,0.9633244872093201,55.0,15.0,103.0,3.722,959001332.0,959001332.0
0.05250547826290131,2.709879159927368,-0.7262462377548218,4.0,0.0,111.0,2.806,959001353.0,959001353.0
0.07000469416379929,3.580770254135132,0.0625145211815834,70.0,1.0,112.0,3.582,959001356.0,959001356.0
0.06306525319814682,3.197260618209839,-0.7382893562316895,4.0,2.0,113.0,3.282,959001358.0,959001358.0
0.07164464145898819,3.600345373153687,0.1887234598398209,52.0,3.0,114.0,3.606,959001360.0,959001360.0
0.07155757397413254,3.595970153808594,-0.6991241574287415,50.0,4.0,114.0,3.664,959001362.0,959001362.0
0.0716969296336174,3.571634531021118,0.3125405013561249,52.0,5.0,115.0,3.586,959001365.0,959001365.0
