"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp"
0.01848833076655865,2.716120481491089,-0.7277991771697998,4.0,0.0,39.0,2.812,589462349.0,589462349.0
0.02518455125391483,3.607362508773804,0.06296828389167786,67.0,1.0,40.0,3.608,589462351.0,589462351.0
0.0229530967772007,3.207544088363648,-0.7405388951301575,4.0,2.0,41.0,3.292,589462354.0,589462354.0
0.02585416287183762,3.612949132919312,0.1893514841794968,53.0,3.0,41.0,3.618,589462356.0,589462356.0
0.02535743080079556,3.459161281585693,-0.6724109053611755,7.0,4.0,42.0,3.524,589462358.0,589462358.0
0.02701930142939091,3.600146293640137,0.3149808645248413,50.0,5.0,43.0,3.614,589462361.0,589462361.0
0.02742673642933369,3.571375846862793,-0.5656670331954956,48.0,6.0,44.0,3.616,589462363.0,589462363.0
0.0284062884747982,3.616726636886597,0.4440918862819672,48.0,7.0,45.0,3.644,589462365.0,589462365.0
0.02859128452837467,3.561140775680542,-0.4372672140598297,48.0,8.0,46.0,3.588,589462367.0,589462367.0
0.02891126647591591,3.600995540618897,0.5703600645065308,60.0,9.0,46.0,3.646,589462370.0,589462370.0
0.02936923690140247,3.580203294754028,-0.313237726688385,67.0,10.0,47.0,3.594,589462372.0,589462372.0
0.03006535209715366,3.588703155517578,0.6975976824760437,43.0,11.0,48.0,3.656,589462374.0,589462374.0
0.03083044290542603,3.604920864105225,-0.1889328062534332,56.0,12.0,49.0,3.61,589462377.0,589462377.0
0.03157967701554298,3.618672609329224,0.8354682326316833,47.0,13.0,50.0,3.714,589462379.0,589462379.0
0.03205674141645432,3.601308822631836,-0.06286356598138809,61.0,14.0,51.0,3.602,589462381.0,589462381.0
0.03208686038851738,3.604692459106445,0.9659126996994019,60.0,15.0,51.0,3.732,589462384.0,589462384.0
0.02808860503137112,2.727629899978638,-0.7309049963951111,5.0,0.0,59.0,2.824,589462404.0,589462404.0
0.03773456066846848,3.603253602981567,0.06289847195148468,70.0,1.0,60.0,3.604,589462407.0,589462407.0
0.03390041366219521,3.18406081199646,-0.7351400256156921,4.0,2.0,61.0,3.268,589462409.0,589462409.0
0.03909610956907272,3.61283016204834,0.1893514841794968,55.0,3.0,62.0,3.618,589462411.0,589462411.0
